Time step:,xu:,x0:,x1:,x2:,x3:,Integral:,%ee:
0,1,0,0,0,0,3,100
1,0.996008,1.87605e-005,0.000279723,0.00139026,0.00230327,2.99003,99.6008
2,0.992032,3.80083e-005,0.000563322,0.00278313,0.00458363,2.98012,99.2032
3,0.988072,5.77491e-005,0.000850783,0.00417846,0.00684129,2.97027,98.8072
4,0.984127,7.79885e-005,0.00114209,0.00557611,0.00907649,2.96048,98.4127
5,0.980199,9.8732e-005,0.00143724,0.00697591,0.0112894,2.95074,98.0199
6,0.976286,0.000119985,0.0017362,0.00837772,0.0134804,2.94107,97.6286
7,0.972388,0.000141753,0.00203897,0.0097814,0.0156495,2.93145,97.2388
8,0.968507,0.000164041,0.00234553,0.0111868,0.0177971,2.92189,96.8507
9,0.96464,0.000186855,0.00265585,0.0125938,0.0199232,2.91239,96.464
10,0.960789,0.000210198,0.00296993,0.0140022,0.0220282,2.90294,96.0789
11,0.956954,0.000234077,0.00328775,0.0154119,0.0241123,2.89355,95.6954
12,0.953134,0.000258496,0.00360928,0.0168229,0.0261756,2.88422,95.3134
13,0.949329,0.00028346,0.00393451,0.0182348,0.0282183,2.87494,94.9329
14,0.945539,0.000308973,0.00426341,0.0196477,0.0302407,2.86572,94.5539
15,0.941765,0.000335041,0.00459597,0.0210614,0.032243,2.85655,94.1765
16,0.938005,0.000361667,0.00493218,0.0224758,0.0342253,2.84744,93.8005
17,0.93426,0.000388855,0.00527199,0.0238908,0.0361879,2.83838,93.426
18,0.930531,0.000416611,0.00561541,0.0253062,0.0381309,2.82938,93.0531
19,0.926816,0.000444938,0.0059624,0.0267219,0.0400546,2.82043,92.6816
20,0.923116,0.00047384,0.00631294,0.0281378,0.0419591,2.81153,92.3116
21,0.919431,0.000503321,0.00666701,0.0295538,0.0438446,2.80269,91.9431
22,0.915761,0.000533386,0.00702459,0.0309699,0.0457113,2.7939,91.5761
23,0.912105,0.000564037,0.00738565,0.0323858,0.0475593,2.78516,91.2105
24,0.908464,0.000595278,0.00775017,0.0338016,0.049389,2.77648,90.8464
25,0.904837,0.000627114,0.00811813,0.035217,0.0512004,2.76785,90.4837
26,0.901225,0.000659547,0.00848951,0.036632,0.0529937,2.75927,90.1225
27,0.897628,0.000692581,0.00886427,0.0380465,0.0547691,2.75074,89.7628
28,0.894044,0.000726218,0.0092424,0.0394604,0.0565267,2.74226,89.4044
29,0.890475,0.000760463,0.00962387,0.0408736,0.0582668,2.73383,89.0475
30,0.88692,0.000795319,0.0100087,0.042286,0.0599896,2.72545,88.692
31,0.88338,0.000830787,0.0103967,0.0436976,0.0616951,2.71712,88.338
32,0.879853,0.000866871,0.0107881,0.0451082,0.0633835,2.70885,87.9853
33,0.876341,0.000903574,0.0111826,0.0465177,0.0650551,2.70062,87.6341
34,0.872843,0.000940899,0.0115804,0.0479261,0.0667099,2.69244,87.2843
35,0.869358,0.000978847,0.0119814,0.0493333,0.0683482,2.68431,86.9358
36,0.865888,0.00101742,0.0123856,0.0507392,0.0699701,2.67623,86.5888
37,0.862431,0.00105663,0.0127928,0.0521437,0.0715757,2.66819,86.2431
38,0.858988,0.00109646,0.0132032,0.0535468,0.0731653,2.66021,85.8988
39,0.855559,0.00113693,0.0136167,0.0549483,0.0747389,2.65227,85.5559
40,0.852144,0.00117803,0.0140332,0.0563482,0.0762968,2.64438,85.2144
41,0.848742,0.00121977,0.0144527,0.0577465,0.077839,2.63654,84.8742
42,0.845354,0.00126216,0.0148753,0.059143,0.0793657,2.62874,84.5354
43,0.841979,0.00130518,0.0153008,0.0605377,0.0808771,2.62099,84.1979
44,0.838618,0.00134884,0.0157293,0.0619306,0.0823733,2.61329,83.8618
45,0.83527,0.00139315,0.0161607,0.0633214,0.0838545,2.60563,83.527
46,0.831936,0.00143811,0.0165949,0.0647103,0.0853208,2.59802,83.1936
47,0.828615,0.00148371,0.0170321,0.0660971,0.0867724,2.59046,82.8615
48,0.825307,0.00152996,0.017472,0.0674818,0.0882093,2.58294,82.5307
49,0.822012,0.00157686,0.0179148,0.0688642,0.0896318,2.57546,82.2012
50,0.818731,0.00162441,0.0183604,0.0702445,0.09104,2.56803,81.8731
51,0.815462,0.00167262,0.0188087,0.0716224,0.0924339,2.56064,81.5462
52,0.812207,0.00172148,0.0192597,0.0729979,0.0938138,2.5533,81.2207
53,0.808965,0.00177099,0.0197135,0.074371,0.0951798,2.54601,80.8965
54,0.805735,0.00182116,0.0201699,0.0757416,0.096532,2.53875,80.5735
55,0.802519,0.00187198,0.0206289,0.0771097,0.0978705,2.53154,80.2519
56,0.799315,0.00192346,0.0210906,0.0784753,0.0991955,2.52437,79.9315
57,0.796124,0.0019756,0.0215548,0.0798381,0.100507,2.51725,79.6124
58,0.792946,0.0020284,0.0220216,0.0811984,0.101805,2.51017,79.2946
59,0.789781,0.00208185,0.022491,0.0825558,0.103091,2.50313,78.9781
60,0.786628,0.00213596,0.0229628,0.0839105,0.104363,2.49613,78.6628
61,0.783488,0.00219073,0.0234371,0.0852624,0.105622,2.48917,78.3488
62,0.78036,0.00224616,0.0239139,0.0866115,0.106869,2.48226,78.036
63,0.777245,0.00230225,0.024393,0.0879576,0.108102,2.47538,77.7245
64,0.774142,0.002359,0.0248746,0.0893007,0.109324,2.46855,77.4142
65,0.771052,0.00241641,0.0253585,0.0906409,0.110533,2.46176,77.1052
66,0.767974,0.00247448,0.0258447,0.0919781,0.111729,2.45501,76.7974
67,0.764908,0.0025332,0.0263333,0.0933121,0.112914,2.4483,76.4908
68,0.761854,0.00259259,0.0268241,0.0946431,0.114086,2.44163,76.1854
69,0.758813,0.00265263,0.0273172,0.095971,0.115246,2.435,75.8813
70,0.755784,0.00271333,0.0278125,0.0972956,0.116395,2.42841,75.5784
71,0.752767,0.00277469,0.02831,0.098617,0.117532,2.42186,75.2767
72,0.749762,0.00283671,0.0288097,0.0999352,0.118657,2.41535,74.9762
73,0.746769,0.00289938,0.0293115,0.10125,0.119771,2.40888,74.6769
74,0.743787,0.0029627,0.0298154,0.102562,0.120873,2.40244,74.3787
75,0.740818,0.00302669,0.0303214,0.10387,0.121964,2.39605,74.0818
76,0.737861,0.00309132,0.0308294,0.105175,0.123044,2.38969,73.7861
77,0.734915,0.00315661,0.0313395,0.106476,0.124112,2.38337,73.4915
78,0.731982,0.00322255,0.0318516,0.107774,0.12517,2.37709,73.1982
79,0.729059,0.00328914,0.0323656,0.109069,0.126217,2.37085,72.9059
80,0.726149,0.00335639,0.0328816,0.11036,0.127253,2.36464,72.6149
81,0.72325,0.00342428,0.0333995,0.111648,0.128278,2.35847,72.325
82,0.720363,0.00349282,0.0339193,0.112932,0.129293,2.35234,72.0363
83,0.717487,0.00356201,0.034441,0.114212,0.130298,2.34624,71.7487
84,0.714623,0.00363184,0.0349645,0.115489,0.131292,2.34018,71.4623
85,0.71177,0.00370232,0.0354899,0.116762,0.132275,2.33416,71.177
86,0.708929,0.00377343,0.036017,0.118032,0.133249,2.32817,70.8929
87,0.706099,0.00384519,0.0365459,0.119298,0.134212,2.32222,70.6099
88,0.70328,0.00391759,0.0370765,0.12056,0.135166,2.31631,70.328
89,0.700473,0.00399063,0.0376088,0.121819,0.136109,2.31043,70.0473
90,0.697676,0.0040643,0.0381428,0.123073,0.137043,2.30458,69.7676
91,0.694891,0.00413861,0.0386785,0.124325,0.137967,2.29877,69.4891
92,0.692117,0.00421355,0.0392158,0.125572,0.138882,2.293,69.2117
93,0.689354,0.00428913,0.0397547,0.126815,0.139786,2.28725,68.9354
94,0.686602,0.00436533,0.0402951,0.128055,0.140682,2.28155,68.6602
95,0.683861,0.00444216,0.0408372,0.129291,0.141568,2.27588,68.3861
96,0.681131,0.00451961,0.0413807,0.130523,0.142445,2.27024,68.1131
97,0.678412,0.00459769,0.0419258,0.131752,0.143312,2.26463,67.8412
98,0.675704,0.00467639,0.0424723,0.132976,0.144171,2.25906,67.5704
99,0.673007,0.0047557,0.0430203,0.134197,0.145021,2.25352,67.3007
100,0.67032,0.00483564,0.0435697,0.135414,0.145861,2.24802,67.032
101,0.667644,0.00491619,0.0441205,0.136626,0.146693,2.24255,66.7644
102,0.664979,0.00499735,0.0446727,0.137835,0.147516,2.23711,66.4979
103,0.662324,0.00507912,0.0452262,0.13904,0.14833,2.2317,66.2324
104,0.65968,0.00516151,0.0457811,0.140241,0.149136,2.22633,65.968
105,0.657047,0.00524449,0.0463373,0.141438,0.149933,2.22099,65.7047
106,0.654424,0.00532808,0.0468947,0.142632,0.150722,2.21568,65.4424
107,0.651811,0.00541227,0.0474534,0.143821,0.151502,2.2104,65.1811
108,0.649209,0.00549706,0.0480134,0.145006,0.152274,2.20515,64.9209
109,0.646618,0.00558245,0.0485745,0.146187,0.153038,2.19994,64.6618
110,0.644036,0.00566843,0.0491368,0.147365,0.153794,2.19475,64.4036
111,0.641465,0.00575499,0.0497003,0.148538,0.154541,2.1896,64.1465
112,0.638905,0.00584215,0.050265,0.149707,0.155281,2.18448,63.8905
113,0.636354,0.00592989,0.0508307,0.150872,0.156013,2.17939,63.6354
114,0.633814,0.00601822,0.0513976,0.152034,0.156737,2.17432,63.3814
115,0.631284,0.00610712,0.0519655,0.153191,0.157453,2.16929,63.1284
116,0.628764,0.00619661,0.0525344,0.154344,0.158161,2.16429,62.8764
117,0.626254,0.00628666,0.0531044,0.155493,0.158862,2.15932,62.6254
118,0.623754,0.00637729,0.0536754,0.156638,0.159556,2.15438,62.3754
119,0.621263,0.00646849,0.0542473,0.157779,0.160241,2.14947,62.1263
120,0.618783,0.00656025,0.0548202,0.158916,0.16092,2.14459,61.8783
121,0.616313,0.00665257,0.0553941,0.160049,0.161591,2.13973,61.6313
122,0.613853,0.00674546,0.0559689,0.161178,0.162255,2.13491,61.3853
123,0.611402,0.0068389,0.0565445,0.162303,0.162911,2.13012,61.1402
124,0.608962,0.00693289,0.057121,0.163424,0.163561,2.12535,60.8962
125,0.606531,0.00702744,0.0576984,0.16454,0.164203,2.12061,60.6531
126,0.604109,0.00712253,0.0582766,0.165653,0.164838,2.1159,60.4109
127,0.601698,0.00721817,0.0588556,0.166762,0.165467,2.11122,60.1698
128,0.599296,0.00731435,0.0594354,0.167866,0.166088,2.10657,59.9296
129,0.596903,0.00741107,0.0600159,0.168967,0.166703,2.10194,59.6903
130,0.594521,0.00750832,0.0605972,0.170063,0.167311,2.09734,59.4521
131,0.592147,0.0076061,0.0611792,0.171155,0.167912,2.09277,59.2147
132,0.589783,0.00770442,0.061762,0.172243,0.168507,2.08823,58.9783
133,0.587429,0.00780326,0.0623454,0.173328,0.169095,2.08371,58.7429
134,0.585084,0.00790262,0.0629294,0.174408,0.169676,2.07923,58.5084
135,0.582748,0.0080025,0.0635141,0.175484,0.170252,2.07476,58.2748
136,0.580422,0.00810289,0.0640994,0.176555,0.17082,2.07033,58.0422
137,0.578105,0.0082038,0.0646854,0.177623,0.171383,2.06592,57.8105
138,0.575797,0.00830521,0.0652719,0.178687,0.171939,2.06154,57.5797
139,0.573498,0.00840714,0.0658589,0.179747,0.172489,2.05718,57.3498
140,0.571209,0.00850956,0.0664466,0.180803,0.173032,2.05285,57.1209
141,0.568929,0.00861248,0.0670347,0.181854,0.17357,2.04855,56.8929
142,0.566658,0.0087159,0.0676233,0.182902,0.174102,2.04427,56.6658
143,0.564396,0.00881981,0.0682125,0.183945,0.174627,2.04002,56.4396
144,0.562142,0.0089242,0.0688021,0.184985,0.175147,2.03579,56.2142
145,0.559898,0.00902909,0.0693921,0.18602,0.17566,2.03159,55.9898
146,0.557663,0.00913445,0.0699826,0.187051,0.176168,2.02741,55.7663
147,0.555437,0.00924029,0.0705735,0.188079,0.176671,2.02326,55.5437
148,0.55322,0.00934661,0.0711648,0.189102,0.177167,2.01913,55.322
149,0.551011,0.00945339,0.0717564,0.190121,0.177658,2.01503,55.1011
150,0.548812,0.00956065,0.0723484,0.191136,0.178143,2.01095,54.8812
151,0.546621,0.00966836,0.0729408,0.192147,0.178623,2.0069,54.6621
152,0.544439,0.00977654,0.0735335,0.193155,0.179097,2.00287,54.4439
